book_name,book_author,book_description,book_genre,book_points
Wiley Concise Guides to Mental Health, Scanlon Walter F. (EN),"The Wiley Concise Guides to Mental Health: Substance Use Disorders uses clear, highly accessible language to guide the reader through the entire continuum of addiction care and present the latest scientific understanding of substance use and abuse. This comprehensive, informative reference provides a complete overview of diagnosis, treatment, research, emerging trends, and other critical information about chemical addictions. Both biomedical and psychiatric conditions and complications are thoroughly covered. Like all the books in the Wiley Concise Guides to Mental Health series, Substance Use Disorders features a compact, easy-to-use format that includes: Vignettes and case illustrations A practical approach that emphasizes real-life treatment over theory Resources for specific readers such as clinicians, students, or patients In addition to the fundamentals of chemical addictions and treatment, Substance Use Disorders covers some of the most cutting-edge topics in the field, including innovative treatment approaches, outcome demands, brain science, relapse-prevention strategies, designer drugs, spirituality, and other areas. This straightforward resource is admirably suited for a wide variety of readers, from those in the helping professions, to law enforcement personnel, to recommended reading for clients currently in treatment.", Иностранная литература,0
Establishing A CGMP Laboratory Audit System, Bliesner David M. (EN),"The first systematic, hands-on auditing guide for today's pharmaceutical laboratories In today's litigious environment, pharmaceutical laboratories are subject to ever stricter operational guidelines as mandated by the FDA, and must be able to establish and demonstrate sustainable operational practices that ensure compliance with the current good manufacturing practice (CGMP) regulations. David Bliesner's Establishing a CGMP Laboratory Audit System: A Practical Guide is designed to provide laboratory supervisors and personnel with a step-by-step, hands-on audit system that they can rely on to ensure their facility remains compliant with all current and future requirements. Focusing on a &quoteteam approach,&quote the author uses detailed flowcharts, checklists, and descriptions of the auditing process to help readers develop a new audit system or upgrade their current system in order to: * Improve current compliance * Demonstrate sustainable compliance * Produce data for federal inspections * Avoid regulatory action Enhanced with detailed checklists and a wealth of practical and flexible auditing tools on CD-ROM, this book provides an ideal resource for new and future laboratory personnel, and an excellent means for keeping existing industry practitioners up to date on the nuances of operating a consistently compliant pharmaceutical laboratory.", Иностранная литература,0
Beginning Flash Game Programming For Dummies, Harris Andy (EN),"You can start game programming in a flash Here's how to create five different cool games - no experience necessary! Ever think you could come up with a better computer game? Then this book is for you! No boring programming theory here, just the stuff you need to know to actually make something happen, and all in plain English. Build a brain-teasing math game, go classic with Pong, create monsters and mayhem, and much more. Discover how to * Build and control basic movie clips * Make text appear and change * Generate random numbers * Add sound effects * Create cars and space vehicles that move realistically * Blow up stuff onscreen", Иностранная литература,0
Mean Girls Grown Up, Dellasega Cheryl (EN),"Almost every woman has experienced bullying. Whether her role was that of victim, aggressor, or bystander, the pain of relational aggression (female bullying) lasts long after the incident has passed. In Mean Girls Grown Up, Cheryl Dellasega explores why women are often their own worst enemies, offering practical advice for a variety of situations. Drawing upon extensive research and interviews, she shares real-life stories from women as well as the knowledge of experts who have helped women overcome the negative effects of aggression. Readers will hear how adult women can be just as vicious as their younger counterparts, learn strategies for dealing with adult bullies, how to avoid being involved in relational aggression, and more. Dellasega outlines how women can change their behavior successfully by shifting away from aggression and embracing a spirit of cooperation in interactions with others.", Иностранная литература,0
Accounting and Finance for Your Small Business, Burton Edwin (EN),"&quoteOnce again, Bragg has turned his discerning eye and formidable talents on a topic and the results are outstanding. Both those new to the business and the long-established entrepreneur will benefit greatly when he joins forces with E. James Burton to produce this outstanding work.&quote Mary S. Schaeffer, Editorial Director Accounts Payable Now & Tomorrow &quoteI use the tips and practices found in [this book] all through the year. They are clear, direct, and efficient-which, in turn, improves our company and our bottom line. I recommend [this book] to anyone wanting to improve their own bottom line.&quote D. R. Drum, CIO, CSO Engineering/Accounting, Dragon Moon Productions &quoteEminently accessible, this book is a must-read for the entrepreneur, both new and established alike. Organizationally, the work flows smoothly and logically in a way that is valuable for the start-up as well as the veteran needing a refresher on specific aspects of the small business accounting/financing picture. I found particularly useful the rich resourcefulness that Messrs Burton and Bragg brought to the table in compiling the essential checklists for every conceivable corner of the entrepreneur's financial realm from fraud prevention to financing options. As a small business owner myself, I was well pleased with the real-world guidance and instant 'useability' this book offers.&quote David Struthers, JDFacilitator/Trial Lawyer &quoteThis book is essential for any small business owner, manager, or accountant's business tool kit. This easy-to-read book distills complex subject matter into meaningful and understandable information and is a great refresher course for those deeply involved in the accounting and financial matters of a small business. The book contains many examples that can be used immediately in daily operations to improve the quality of information for better decision making. The book provides those involved in small business the framework to manage what they measure.&quote Jim Bologa, CFODaticon, Inc.", Иностранная литература,0
Science of Sherlock Holmes, Wagner E. J. (EN),"Praise for The Science of Sherlock Holmes&quoteHolmes is, first, a great detective, but he has also proven to be a great scientist, whether dabbling with poisons, tobacco ash, or tire marks. Wagner explores this fascinating aspect of his career by showing how his investigations were grounded in the cutting-edge science of his day, especially the emerging field of forensics.... Utterly compelling.&quote-Otto Penzler, member of the Baker Street Irregulars and proprietor of The Mysterious Bookshop&quoteE. J. Wagner demonstrates that without the work of Sherlock Holmes and his contemporaries, the CSI teams would be twiddling their collective thumbs. Her accounts of Victorian crimes make Watson's tales pale! Highly recommended for students of the Master Detective.&quote-Leslie S. Klinger, Editor, The New Annotated Sherlock Holmes&quoteIn this thrilling book, E. J. Wagner has combined her considerable strengths in three disciplines to produce a work as compelling and blood-curdling as the best commercial fiction. This is CSI in foggy old London Town. Chilling, grim fun.&quote-John Westermann, author of Exit Wounds and Sweet Deal&quoteI am recommending this delightful work to all of my fellow forensic scientists.... Bravo, Ms. Wagner!&quote-John Houde, author of Crime Lab: A Guide for Nonscientists&quoteA fabulously interesting read. The book traces the birth of the forensic sciences to the ingenuity of Sherlock Holmes. A wonderful blend of history, mystery, and whodunit.&quote-Andre Moenssens, Douglas Stripp Professor of Law Emeritus, University of Missouri at Kansas City, and coauthor of Scientific Evidence in Civil and Criminal Cases", Иностранная литература,0
Securing SCADA Systems, Krutz Ronald L. (EN),"Bestselling author Ron Krutz once again demonstrates his ability to make difficult security topics approachable with this first in-depth look at SCADA (Supervisory Control And Data Acquisition) systems Krutz discusses the harsh reality that natural gas pipelines, nuclear plants, water systems, oil refineries, and other industrial facilities are vulnerable to a terrorist or disgruntled employee causing lethal accidents and millions of dollars of damage-and what can be done to prevent this from happening Examines SCADA system threats and vulnerabilities, the emergence of protocol standards, and how security controls can be applied to ensure the safety and security of our national infrastructure assets", Иностранная литература,0
Digital Art Photography For Dummies, Bamberg Matthew (EN),"So you ve made the jump to digital photography and you re having a ball with your new camera, right? Now, you re wondering just what it would take to make your photos a little more than just snapshots. Well, Digital Art Photography For Dummies is a great place to find out! You ll not only discover great new ideas, you ll see the effects in full color. This book will help you Get fabulous, well-exposed photos, no matter what your shooting conditions may be Tweak, edit, and enhance your images to create something a lot better than what you started with, or maybe something entirely new Produce gallery-worthy art prints that people are willing to pay for Find out if it s time to upgrade your computer to handle graphics work Sound like fun? This plain-English guide makes it easy, too! You ll find out just what makes a picture artistic, how to plan and set up a good photo shoot, what kinds of tools are available in Photoshop to help you enhance or even completely revamp an image, and how to be sure that what comes out of your printer meets all your expectations. Best of all, this book is jam-packed with full-color images that show you just what you can produce. You ll find out how to Select the right digital equipment Shoot in color, black-and-white, and at night Choose subject matter that fits your style Understand and use your camera s settings to get the best shots Photograph landscapes, people, action, and just about anything else Create special effects in Photoshop Improve the quality of your photos or turn them into true works of art Mat and frame your work for maximum effect If you re comfortable with your digital camera but want to find out more about creating cool effects in Photoshop, you can jump directly to Part III and discover tips and techniques that turn ordinary pictures into extraordinary art. Or maybe you ve been trying to get better nighttime photos. Part II is all about setting up your equipment and getting the perfect shot. Like all For Dummies books, Digital Art Photography For Dummies is designed so you can go directly to the part that most interests you. Whether you ve been thinking of selling your work or you just want to create a knock-their-socks-off family gallery that your relatives can view online, this book shows you how to take your photography hobby to the next level. Even if you just want to look at the pictures for inspiration, you can t go wrong!", Иностранная литература,0
Neuroscience of Cognitive Development, Nelson Charles A. (EN),"A new understanding of cognitive development from the perspective of neuroscience This book provides a state-of-the-art understanding of the neural bases of cognitive development. Although the field of developmental cognitive neuroscience is still in its infancy, the authors effectively demonstrate that our understanding of cognitive development is and will be vastly improved as the mechanisms underlying development are elucidated. The authors begin by establishing the value of considering neuroscience in order to understand child development and then provide an overview of brain development. They include a critical discussion of experience-dependent changes in the brain. The authors explore whether the mechanisms underlying developmental plasticity differ from those underlying adult plasticity, and more fundamentally, what distinguishes plasticity from development. Having armed the reader with key neuroscience basics, the book begins its examination of the neural bases of cognitive development by examining the methods employed by professionals in developmental cognitive neuroscience. Following a brief historical overview, the authors discuss behavioral, anatomic, metabolic, and electrophysiological methods. Finally, the book explores specific content areas, focusing on those areas where there is a significant body of knowledge on the neural underpinnings of cognitive development, including: * Declarative and non-declarative memory and learning * Spatial cognition * Object recognition * Social cognition * Speech and language development * Attention development For cognitive and developmental psychologists, as well as students in developmental psychology, neuroscience, and cognitive development, the authors' view of behavioral development from the perspective of neuroscience sheds new light on the mechanisms that underlie how the brain functions and how a child learns and behaves.", Иностранная литература,0
Executive Roadmap to Fraud Prevention and Internal Control, Biegelman Martin T. (EN),"Praise for Executive Roadmap to Fraud Prevention and Internal Control &quoteOur nation is faced with dual alarming trends of record highs in white-collar crime and seemingly record lows in ethics. The solution cannot be left only to legislators, regulators, and law enforcement. It requires the attention of all of us in business to create a culture of compliance. This new book by Martin Biegelman and Joel Bartow is an invaluable resource to achieving the highest levels of compliance.&quote --Kenneth J. Hunter, former chief postal inspector and former president & CEO of the Council of Better Business Bureaus &quoteThis is a timely and thought-provoking addition to fraud and risk management literature. For seasoned executives who are navigating the maze of compliance, legislative requirements, and increasingly sophisticated criminal activity, this book will be a frequent reference and guide. Neophyte managers will gain years of insight and direction that can only benefit their organizations. Academics, both faculty and students, will learn from the authors' ability to apply theory to high-level practice.&quote --Gary R. Gordon, EdD, Professor of Economic Crime Management and Executive Director, Economic Crime Institute of Utica College &quoteAll executives need to protect themselves and their organizations from the potentially catastrophic damage fraud can cause, both financially and reputationally. This new book is a very clear and practical guide to achieving that goal.&quote --Toby J. F. Bishop, President and Chief Executive Officer, Association of Certified Fraud Examiners &quoteThis book is a must-read for anyone eager to understand--and prevent--the toxic mix of temptations that can destroy a company's reputation overnight. The authors, both seasoned former fraud investigators, bring a unique, clear-eyed perspective to the topic of corporate fraud. They have seen it all, and their book is an invaluable reference for senior management, compliance executives, in-house lawyers, and anyone else who cares about corporate integrity.&quote --Leslie R. Caldwell, Partner, Morgan Lewis & Bockius former director, U.S. Department of Justice Enron Task Force &quoteExcellent resource! A great guide for corporate management in the post-Enron world.&quote --Karen A. Popp, Partner, Sidley Austin Brown & Wood LLP and former associate counsel to President Bill Clinton and former federal prosecutor", Иностранная литература,0
Building a PC For Dummies, Chambers Mark L. (EN),"Shows tech hobbyists how to build the perfect PC, whether they want to create the ultimate gaming machine or combine new and recycled parts to construct an inexpensive computer for a child The do-it-yourself craze is sweeping through the tech community, and this guide is now significantly revised and updated to cover the wide array of new hardware and accessories available Step-by-step instructions and dozens of photos walk first-time computer builders through the entire process, from building the foundation, and adding a processor and RAM, to installing a video card, configuring a hard drive, hooking up CD and DVD drives, adding a modem, and troubleshooting problems", Иностранная литература,0
Commitments of Traders, Upperman Floyd (EN),"&quoteFloyd has answered for many in this book a way to both understand and use the Commitment of Traders reports. In my thirty-five years as a registered broker and author of my own book, I find that at times someone takes a complex subject and makes it easier to understand. Floyd has done this with his book. Not only does he make understanding the COT easy, but he ties it to some technical trading ideas that readers can try out, using historical data on their own. Truly another good technical book for those looking to understand this often overlooked subject.&quote -- Ira Epstein, PresidentIra Epstein & Company Futures &quoteFor many years, I've had requests from customers seeking information on the Commitment of Traders report but had few resources to which I could refer them. This superb treatment of the subject by Floyd Upperman, full of detailed information and innovative ideas on how to use them [COT] effectively in trading, is the definitive treatment of the subject in my book. I highly recommend it.&quote -- Edward D. Dobson, PresidentTraders Press, Inc. &quoteThe Commitment of Traders (COT) can be a very powerful trading tool to help anticipate market direction. But all too often it is misunderstood and/or misinterpreted . . . Floyd's unique analytical interpretations, combined with his trading tools and indicators, will open a door to greater profitability for all traders.&quote -- Walter Bressert, President Walter Bressert, Inc. &quoteIf you are interested in capturing major market moves, this is a must-read book.&quote -- Larry Williams, Commodity TraderIreallytrade.com By understanding commercial activity and monitoring its behavior, a trader can potentially forecast significant changes in price direction. Author Floyd Upperman shows you how to use the Commitment of Traders (COT) reports to accomplish this goal. He skillfully explains how to break down the COT data into producers, consumers, and funds so you understand the positions and activities of these key market participants. In addition, he demonstrates how to monitor the COT activity so you can detect position imbalances that could be harbingers of major trend changes and illustrates his techniques for combining traditional technical analysis of price with the COT data.", Иностранная литература,0
